sku,ean,qty,type,name
SVMilano340x240,4251469451384,1,variant_child,SVMilano
BLMilano200x140,4251469453197,0,variant_child,BLMilano
BLFancy240x170,4251469453982,5,variant_child,BLFancy
DKRDTeppstar60x40,4251469451285,8,variant_child,DKRDTeppstar
DKRDTeppstar140x70,4251469452121,1,variant_child,DKRDTeppstar
DKRDTeppstar240x170,4251469451568,1,variant_child,DKRDTeppstar
DKRDTeppstar250x200,4251469452206,0,variant_child,DKRDTeppstar
DKRDTeppstar300x200,4251469452213,0,variant_child,DKRDTeppstar
DKRDTeppstar400x300,4251469452091,1,variant_child,DKRDTeppstar
DKRDTeppstar200x80,4251469452138,1,variant_child,DKRDTeppstar
RDTeppstar140x70,4251469452237,0,variant_child,RDTeppstar
RDTeppstar300x200,4251469452244,0,variant_child,RDTeppstar
RDTeppstar350x250,4251469452268,0,variant_child,RDTeppstar
ORTeppstar60x40,4251469451308,20,variant_child,ORTeppstar
ORTeppstar350x250,4251469453975,0,variant_child,ORTeppstar
GDTeppstar90x60,4251469451315,6,variant_child,GDTeppstar
GDTeppstar140x70,4251469452282,0,variant_child,GDTeppstar
GDTeppstar240x170,4251469452299,0,variant_child,GDTeppstar
GDTeppstar250x200,4251469451667,1,variant_child,GDTeppstar
GDTeppstar300x200,4251469452305,0,variant_child,GDTeppstar
GDTeppstar200x80,4251469452329,0,variant_child,GDTeppstar
GDTeppstar300x80,4251469452336,0,variant_child,GDTeppstar
BLTeppstar350x250,4251469452220,0,variant_child,BLTeppstar
SVTeppstar60x40,4251469453326,0,variant_child,SVTeppstar
SVTeppstar90x60,4251469451292,10,variant_child,SVTeppstar
GREYTeppstar400x80,4251469452169,2,variant_child,GREYTeppstar
NATeppstar60x40,4251469451322,3,variant_child,NATeppstar
NATeppstar350x250,4251469452343,0,variant_child,NATeppstar
BGTeppstar90x60,4251469451339,9,variant_child,BGTeppstar
BGTeppstar200x140,4251469453920,0,variant_child,BGTeppstar
BGTeppstar240x170,4251469452350,0,variant_child,BGTeppstar
BGTeppstar300x200,4251469452374,0,variant_child,BGTeppstar
BGTeppstar400x300,4251469452114,2,variant_child,BGTeppstar
SDGREYTeppstar350x250,4251469453913,0,variant_child,SDGREYTeppstar
BRTeppstar60x40,4251469453272,0,variant_child,BRTeppstar
BRTeppstar90x60,4251469453289,0,variant_child,BRTeppstar
BRTeppstar200x140,4251469453296,0,variant_child,BRTeppstar
BRTeppstar200x80,4251469453302,0,variant_child,BRTeppstar
BRTeppstar300x80,4251469453319,0,variant_child,BRTeppstar
BRTeppstar250x250R,4251469455863,0,variant_child,BRTeppstar
CHOLTeppstar60x40,4251469453333,0,variant_child,CHOLTeppstar
CHOLTeppstar90x60,4251469453340,0,variant_child,CHOLTeppstar
CHOLTeppstar140x70,4251469453357,0,variant_child,CHOLTeppstar
CHOLTeppstar240x170,4251469451575,1,variant_child,CHOLTeppstar
CHOLTeppstar250x200,4251469451636,2,variant_child,CHOLTeppstar
CHOLTeppstar300x200,4251469451643,3,variant_child,CHOLTeppstar
CHOLTeppstar200x80,4251469453364,0,variant_child,CHOLTeppstar
CHODTeppstar60x40,4251469453371,0,variant_child,CHODTeppstar
CHODTeppstar90x60,4251469452763,6,variant_child,CHODTeppstar
CHODTeppstar240x170,4251469453388,0,variant_child,CHODTeppstar
CHODTeppstar350x250,4251469453395,0,variant_child,CHODTeppstar
CHODTeppstar200x80,4251469453401,0,variant_child,CHODTeppstar
GDUni90x60,4251469453418,0,variant_child,GDUni
GDUni140x70,4251469453425,0,variant_child,GDUni
GDUni200x140,4251469453432,0,variant_child,GDUni
GDUni300x200,4251469453449,0,variant_child,GDUni
GDUni300x250,4251469453456,0,variant_child,GDUni
GDUni350x250,4251469451728,1,variant_child,GDUni
GDUni300x80,4251469453463,0,variant_child,GDUni
RDUni90x60,4251469453470,0,variant_child,RDUni
RTUni60x40,4251469453517,0,variant_child,RTUni
RTUni90x60,4251469453524,0,variant_child,RTUni
RTUni300x250,4251469452060,2,variant_child,RTUni
DKCAUni60x40,4251469453531,0,variant_child,DKCAUni
DKCAUni140x70,4251469451827,5,variant_child,DKCAUni
DKCAUni200x140,4251469453548,0,variant_child,DKCAUni
DKCAUni240x170,4251469451407,1,variant_child,DKCAUni
DKCAUni300x250,4251469453555,0,variant_child,DKCAUni
DKCAUni300x80,4251469453562,0,variant_child,DKCAUni
SCUni60x40,4251469453760,0,variant_child,SCUni
SCUni90x60,4251469453777,0,variant_child,SCUni
SCUni200x140,4251469453791,0,variant_child,SCUni
ORUni90x60,4251469453845,0,variant_child,ORUni
ORUni300x200,4251469453852,0,variant_child,ORUni
TKUni90x60,4251469453579,0,variant_child,TKUni
TKUni350x250,4251469453586,0,variant_child,TKUni
LIBL566Uni60x40,4251469451247,13,variant_child,LIBL566Uni
LIBL566Uni90x60,4251469453654,0,variant_child,LIBL566Uni
SEABL511Uni60x40,4251469451278,1,variant_child,SEABL511Uni
BLUni90x60,4251469453807,0,variant_child,BLUni
BLUni200x140,4251469453821,0,variant_child,BLUni
BLUni300x250,4251469453838,0,variant_child,BLUni
GREYUni60x40,4251469453623,0,variant_child,GREYUni
GREYUni90x60,4251469453630,0,variant_child,GREYUni
SVUni140x70,4251469453944,0,variant_child,SVUni
SVUni300x80,4251469453708,0,variant_child,SVUni
SVUni350x80,4251469451766,3,variant_child,SVUni
NAUni90x60,4251469453715,0,variant_child,NAUni
NAUni140x70,4251469453722,0,variant_child,NAUni
NAUni200x140,4251469453739,0,variant_child,NAUni
NAUni300x200,4251469453746,0,variant_child,NAUni
NAUni350x250,4251469453753,0,variant_child,NAUni
NAUni240x80,4251469451759,1,variant_child,NAUni
BGUni140x70,4251469453876,0,variant_child,BGUni
BGUni200x140,4251469453883,0,variant_child,BGUni
BGUni300x200,4251469453890,0,variant_child,BGUni
RS561Uni90x60,4251469451230,2,variant_child,RS561Uni
FL533Uni240x80,4251469451742,1,variant_child,FL533Uni
FU564Uni60x40,4251469453692,0,variant_child,FU564Uni
PUR530Uni200x200Q,4251469451582,1,variant_child,PUR530Uni
MTGRUni90x60,4251469453593,0,variant_child,MTGRUni
MTGRUni200x140,4251469451681,0,variant_child,MTGRUni
MTGRUni300x200,4251469453609,0,variant_child,MTGRUni
MTGRUni300x250,4251469453616,0,variant_child,MTGRUni
LGR550Uni60x40,4251469453647,0,variant_child,LGR550Uni
SEAGR506Uni60x40,4251469451254,1,variant_child,SEAGR506Uni
SGR567Uni60x40,4251469453661,0,variant_child,SGR567Uni
DKGR505Uni60x40,4251469453678,0,variant_child,DKGR505Uni
DKGR505Uni90x60,4251469451261,1,variant_child,DKGR505Uni
RDSahara60x40,4251469452794,0,variant_child,RDSahara
RDSahara200x140,4251469452817,0,variant_child,RDSahara
RDSahara350x250,4251469453951,0,variant_child,RDSahara
ORSahara60x40,4251469451223,3,variant_child,ORSahara
GRSahara60x40,4251469452824,0,variant_child,GRSahara
GRSahara350x250,4251469452831,0,variant_child,GRSahara
BRSahara60x40,4251469452848,0,variant_child,BRSahara
BLSahara60x40,4251469452855,0,variant_child,BLSahara
GDSahara60x40,4251469452862,0,variant_child,GDSahara
RDFenth90x60,4251469452671,0,variant_child,RDFenth
RDFenth250x200,4251469452695,0,variant_child,RDFenth
RDFenth240x170O,4251469452688,0,variant_child,RDFenth
ORFenth90x60,4251469452725,0,variant_child,ORFenth
ORFenth250x200,4251469452718,0,variant_child,ORFenth
ORFenth240x170O,4251469452701,0,variant_child,ORFenth
GDFenth90x60,4251469451186,1,variant_child,GDFenth
GDFenth250x200,4251469452602,0,variant_child,GDFenth
GDFenth300x250,4251469452893,0,variant_child,GDFenth
GDFenth240x170O,4251469452596,0,variant_child,GDFenth
GRFenth60x40,4251469451209,14,variant_child,GRFenth
GRFenth240x170O,4251469452770,0,variant_child,GRFenth
BGFenth90x60,4251469452633,0,variant_child,BGFenth
BGFenth250x200,4251469452657,0,variant_child,BGFenth
BGFenth350x80,4251469451803,1,variant_child,BGFenth
BGFenth240x170O,4251469452664,0,variant_child,BGFenth
BLFenth90x60,4251469451216,5,variant_child,BLFenth
BLFenth140x70,4251469452916,0,variant_child,BLFenth
BLFenth250x200,4251469453968,0,variant_child,BLFenth
BLFenth240x170O,4251469452787,0,variant_child,BLFenth
116117Hemilio200x140,4251469451629,1,variant_child,116117Hemilio
RTOR130Nerio200x140,4251469451612,2,variant_child,RTOR130Nerio
RTOR106Luxo240x170,4251469452930,0,variant_child,RTOR106Luxo
RTOR106Luxo300x80,4251469452947,0,variant_child,RTOR106Luxo
SV106Luxo140x70,4251469451834,9,variant_child,SV106Luxo
SV106Luxo240x170,4251469452954,0,variant_child,SV106Luxo
SV106Luxo300x80,4251469452961,0,variant_child,SV106Luxo
SC121Tella250x200,4251469452978,0,variant_child,SC121Tella
SC121Tella300x250,4251469452985,0,variant_child,SC121Tella
RT121Tella200x140,4251469452992,0,variant_child,RT121Tella
RT121Tella240x170,4251469453005,0,variant_child,RT121Tella
RT121Tella250x200,4251469453012,0,variant_child,RT121Tella
RT121Tella300x200,4251469451711,1,variant_child,RT121Tella
WHElite140x70,4251469409804,6,variant_child,WHElite
RTElite140x70,4251469410145,7,variant_child,RTElite
BLElite140x70,4251469410480,8,variant_child,BLElite
